-2.30000000,-1.34101248
-2.10000000,-1.15846750
-1.90000000,-1.05674724
-1.70000000,-1.00840525
-1.50000000,-1.00251130
-1.30000000,-1.03782005
-1.10000000,-1.12207332
-0.90000000,-1.27660621
-0.70000000,-1.55227033
-0.50000000,-2.08582964
-0.30000000,-3.38386336
-0.10000000,-10.01668613
0.10000000,10.01668613
0.30000000,3.38386336
0.50000000,2.08582964
0.70000000,1.55227033
0.90000000,1.27660621
1.10000000,1.12207332
1.30000000,1.03782005
1.50000000,1.00251130
1.70000000,1.00840525
1.90000000,1.05674724
2.10000000,1.15846750
2.30000000,1.34101248
2.50000000,1.67092155
2.70000000,2.33983875
2.90000000,4.17974004
3.10000000,24.04964090
3.30000000,-6.33931723
3.50000000,-2.85076344
3.70000000,-1.88737597
3.90000000,-1.45398256
4.10000000,-1.22207989
4.30000000,-1.09150533
4.50000000,-1.02298639
4.70000000,-1.00007675
4.90000000,-1.01786081
